Comment,Designator,Footprint,LCSC
5.11k,"R6,R7",R_0402_1005Metric,C103084
10p,C2,C_0402_1005Metric,C106199
100k,"R1,R2",R_0402_1005Metric,C106234
1k,R3,R_0402_1005Metric,C106235
100n,"C3,C9",C_0402_1005Metric,C131394
499R,R4,R_0402_1005Metric,C137970
0R,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C169855
SW_Push,SW1,SW_SPST_B3U-1000P,C231329
1n,L1,L_0402_1005Metric,C237608
JST-PH-4,J3,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,C265102
10n,C5,C_0402_1005Metric,C272878
YAGEO_ANT3216LL00R2400A,A1,YAGEO_ANT3216LL00R2400A,C293767
ESP32-U4WDH,IC1,QFN35P500X500X90-49N-D,C3013932
SP0503BAHT,D1,SOT-143,C3040626
8p,C1,C_0402_1005Metric,C342939
MUN5211DW1,Q1,SOT-363_SC-70-6,C463894
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186
10u,C7,C_0402_1005Metric,C76991
4.7u,"C4,C8",C_0402_1005Metric,C82453
10u,C6,C_0603_1608Metric,C85713
CP2102N-Axx-xQFN24,U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C969151
