Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,YAGEO_ANT3216LL00R2400A,YAGEO_ANT3216LL00R2400A,21.62,27.175,180.0,top
C1,8p,C_0402_1005Metric,25.065,27.175,0.0,top
C2,10p,C_0402_1005Metric,25.26,24.25,0.0,top
C3,100n,C_0402_1005Metric,19.72,23.19,180.0,top
C4,4.7u,C_0402_1005Metric,37.18,11.2,-90.0,top
C5,10n,C_0402_1005Metric,35.68,9.7,0.0,top
C6,10u,C_0603_1608Metric,17.55,6.85,-90.0,top
C7,10u,C_0402_1005Metric,26.25,14.0,-90.0,top
C8,4.7u,C_0402_1005Metric,27.35,14.0,-90.0,top
C9,100n,C_0402_1005Metric,28.45,14.0,-90.0,top
D1,SP0503BAHT,SOT-143,28.7,10.7,180.0,top
IC1,ESP32-U4WDH,QFN35P500X500X90-49N-D,21.925,19.45,180.0,top
J3,JST-PH-4,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,33.7,22.2,270.0,top
L1,1n,L_0402_1005Metric,24.815,25.725,-90.0,top
Q1,MUN5211DW1,SOT-363_SC-70-6,18.65,3.1,270.0,top
R1,100k,R_0402_1005Metric,21.72,23.19,180.0,top
R2,100k,R_0402_1005Metric,17.64,19.98,180.0,top
R3,1k,R_0402_1005Metric,37.18,13.7,-90.0,top
R4,499R,R_0402_1005Metric,25.7,17.2,90.0,top
R5,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,21.75,6.75,180.0,top
R6,5.11k,R_0402_1005Metric,37.4,5.425,90.0,top
R7,5.11K,R_0402_1005Metric,37.4,3.375,-90.0,top
SW1,SW_Push,SW_SPST_B3U-1000P,22.9,3.35,0.0,top
U1,CP2102N-Axx-xQFN24,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,33.98,12.9,90.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,21.2,12.05,180.0,top
